comparison,anchor_weight,weight,metric,value
single_weight,,0.0,final_ranked_count,79.0
single_weight,,0.0,top_25_count,25.0
single_weight,,0.0,top_25_median_composite_score,0.48056907904182944
single_weight,,0.0,top_25_median_shareholder_yield,0.03698164391351255
single_weight,,0.0,top_25_median_gross_profitability,0.33747167571492126
single_weight,,0.0,top_25_median_adjusted_book_to_market,0.37207622171940674
single_weight,,0.0,top_25_median_pead_signal,-0.0
single_weight,,0.0,top_25_median_sue_signal,1.0925759714106213
single_weight,,0.0,top_25_median_revision_impulse_signal,0.10146658398809669
single_weight,,0.0,top_25_median_revenue_growth_yoy,0.0930215965359289
single_weight,,0.0,top_25_median_revenue_acceleration,0.00467142389005093
single_weight,,0.0,top_25_median_price_momentum_6m_ex_1m,
single_weight,,0.0,top_25_median_price_momentum_effective_signal,0.04013959562240353
single_weight,,0.0,top_25_median_forensic_penalty,-0.33690160740371633
single_weight,,0.0,top_25_median_beneish_m_score,-2.7981051343616477
single_weight,,0.0,top_25_median_accrual_volatility,0.013007445290179387
single_weight,,0.0,top_25_sector_top_share,0.28
single_weight,,0.0,top_25_sector_hhi,0.2064
single_weight,,0.04,final_ranked_count,79.0
single_weight,,0.04,top_25_count,25.0
single_weight,,0.04,top_25_median_composite_score,0.4561395496911261
single_weight,,0.04,top_25_median_shareholder_yield,0.03698164391351255
single_weight,,0.04,top_25_median_gross_profitability,0.33747167571492126
single_weight,,0.04,top_25_median_adjusted_book_to_market,0.37207622171940674
single_weight,,0.04,top_25_median_pead_signal,0.0
single_weight,,0.04,top_25_median_sue_signal,1.1143648151116898
single_weight,,0.04,top_25_median_revision_impulse_signal,0.10675479730400185
single_weight,,0.04,top_25_median_revenue_growth_yoy,0.10085988165484716
single_weight,,0.04,top_25_median_revenue_acceleration,0.014657200766690082
single_weight,,0.04,top_25_median_price_momentum_6m_ex_1m,
single_weight,,0.04,top_25_median_price_momentum_effective_signal,0.06245378690615919
single_weight,,0.04,top_25_median_forensic_penalty,-0.28355645207307767
single_weight,,0.04,top_25_median_beneish_m_score,-2.7981051343616477
single_weight,,0.04,top_25_median_accrual_volatility,0.014671721045943536
single_weight,,0.04,top_25_sector_top_share,0.32
single_weight,,0.04,top_25_sector_hhi,0.20959999999999998
single_weight,,0.06,final_ranked_count,79.0
single_weight,,0.06,top_25_count,25.0
single_weight,,0.06,top_25_median_composite_score,0.44694256080845773
single_weight,,0.06,top_25_median_shareholder_yield,0.03698164391351255
single_weight,,0.06,top_25_median_gross_profitability,0.33747167571492126
single_weight,,0.06,top_25_median_adjusted_book_to_market,0.37207622171940674
single_weight,,0.06,top_25_median_pead_signal,-0.0
single_weight,,0.06,top_25_median_sue_signal,1.1143648151116898
single_weight,,0.06,top_25_median_revision_impulse_signal,0.10675479730400185
single_weight,,0.06,top_25_median_revenue_growth_yoy,0.10085988165484716
single_weight,,0.06,top_25_median_revenue_acceleration,0.014657200766690082
single_weight,,0.06,top_25_median_price_momentum_6m_ex_1m,
single_weight,,0.06,top_25_median_price_momentum_effective_signal,0.06245378690615919
single_weight,,0.06,top_25_median_forensic_penalty,-0.28355645207307767
single_weight,,0.06,top_25_median_beneish_m_score,-2.7981051343616477
single_weight,,0.06,top_25_median_accrual_volatility,0.014671721045943536
single_weight,,0.06,top_25_sector_top_share,0.32
single_weight,,0.06,top_25_sector_hhi,0.20959999999999998
single_weight,,0.08,final_ranked_count,79.0
single_weight,,0.08,top_25_count,25.0
single_weight,,0.08,top_25_median_composite_score,0.46501686427063676
single_weight,,0.08,top_25_median_shareholder_yield,0.03206965983491794
single_weight,,0.08,top_25_median_gross_profitability,0.3465886784850969
single_weight,,0.08,top_25_median_adjusted_book_to_market,0.3599540680411724
single_weight,,0.08,top_25_median_pead_signal,0.0
single_weight,,0.08,top_25_median_sue_signal,1.171827351804351
single_weight,,0.08,top_25_median_revision_impulse_signal,0.11610806986991037
single_weight,,0.08,top_25_median_revenue_growth_yoy,0.10085988165484716
single_weight,,0.08,top_25_median_revenue_acceleration,0.031459813105491286
single_weight,,0.08,top_25_median_price_momentum_6m_ex_1m,
single_weight,,0.08,top_25_median_price_momentum_effective_signal,0.06245378690615919
single_weight,,0.08,top_25_median_forensic_penalty,-0.11238338803070162
single_weight,,0.08,top_25_median_beneish_m_score,-2.769028156546154
single_weight,,0.08,top_25_median_accrual_volatility,0.01542350897306255
single_weight,,0.08,top_25_sector_top_share,0.28
single_weight,,0.08,top_25_sector_hhi,0.2064
anchor_vs_weight,0.0,0.04,top_25_overlap_count,24.0
anchor_vs_weight,0.0,0.04,top_25_overlap_ratio,0.9230769230769231
anchor_vs_weight,0.0,0.04,rank_spearman_corr,0.9928675754625121
anchor_vs_weight,0.0,0.06,top_25_overlap_count,24.0
anchor_vs_weight,0.0,0.06,top_25_overlap_ratio,0.9230769230769231
anchor_vs_weight,0.0,0.06,rank_spearman_corr,0.9855647517039922
anchor_vs_weight,0.0,0.08,top_25_overlap_count,22.0
anchor_vs_weight,0.0,0.08,top_25_overlap_ratio,0.7857142857142857
anchor_vs_weight,0.0,0.08,rank_spearman_corr,0.9733203505355406
