symbol,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,dividend_safety_pass,price_to_200dma
TCMD.US,Healthcare,Medical Devices,1,0.05,False,buy_buffer_entry,,0.9044158160159346,0.0349203529469666,0.9042133006256798,0.4954363995246356,0.0268717358802888,,1.0,1.2800266636460975
ITRN.US,Technology,Scientific & Technical Instruments,2,0.05,False,buy_buffer_entry,,0.8908162105876936,0.1242053282396702,0.4623783705406847,0.2994982389604477,0.033543468138824,0.0152499999999999,1.0,1.199566701435781
RNG.US,Technology,Software - Application,3,0.05,False,buy_buffer_entry,,0.8641838536030665,0.053065682336337,1.2090384115616066,0.1747194457092721,0.0372573345067576,0.0044336961670848,1.0,1.2454908613151616
GCT.US,Technology,Software - Infrastructure,4,0.05,False,buy_buffer_entry,,0.692386086427846,0.0720401234668282,0.2500426209958094,0.3621785475424979,0.1734384479830325,0.0096290784948466,1.0,1.240449752629762
BSM.US,Energy,Oil & Gas E&P,5,0.05,False,buy_buffer_entry,,0.6839582817542051,0.0788976753012618,0.236806598610015,0.3565020833321834,0.0705761366960055,-0.0074838362068967,1.0,1.1320207910757532
CIEN.US,Technology,Communication Equipment,6,0.05,False,buy_buffer_entry,,0.6403689078915354,0.0049053191197829,0.3374716757149212,0.0911314194415191,0.1724307535185987,0.0303703901607155,1.0,2.0690568193405627
ZD.US,Communication Services,Advertising Agencies,8,0.05,False,buy_buffer_entry,,0.5585387263781554,0.0768464194036557,0.277372133258865,1.245562379626889,-0.0100207555207359,0.1404529891270595,1.0,1.1618207220270471
INCY.US,Healthcare,Biotechnology,9,0.05,False,buy_buffer_entry,,0.5566111625182636,0.0466916828955493,0.6758471181190269,0.659367133521745,-0.0001000448131295,-0.0019468306701864,1.0,1.0038407279290464
SPH.US,Utilities,Utilities - Regulated Gas,10,0.05,False,buy_buffer_entry,,0.5462472972958589,0.0531640890794404,0.1318172735483657,0.4909919029311792,-0.0,,1.0,1.0728177102302667
ULS.US,Industrials,Specialty Business Services,11,0.05,False,buy_buffer_entry,,0.5427074652673177,-0.0029502487562188,0.5127767887709689,0.1122927118160955,0.0003184463895741,0.0004539615164881,1.0,1.0923132945981548
ADTN.US,Technology,Communication Equipment,12,0.05,False,buy_buffer_entry,,0.4903934340629062,-0.0103131968376242,0.3445059456551428,0.9904887097439764,0.0061137708579083,0.0708800000000001,1.0,1.2670519535254494
EME.US,Industrials,Engineering & Construction,14,0.05,False,buy_buffer_entry,,0.4576653976734015,0.0397363185780208,0.3465886784850969,0.1413881773420776,6.734284389903672e-05,-0.0008197935825716,1.0,1.1226603351791826
OGS.US,Utilities,Utilities - Regulated Gas,15,0.05,False,buy_buffer_entry,,0.4543973742168591,-0.0286173057703435,0.1531362040308113,0.7257785792641239,0.0013572372294325,0.0030590329195979,1.0,1.106562876915451
IESC.US,Industrials,Engineering & Construction,16,0.05,False,buy_buffer_entry,,0.4469976715664432,0.0113741366642174,0.5386463666154653,0.130421187174963,0.0436699680455058,,1.0,1.1150236479762996
HAS.US,Consumer Cyclical,Leisure,17,0.05,False,buy_buffer_entry,,0.4362280534382964,0.0314127583749109,0.5949747838616715,0.1847216535166357,0.00037947820011,-0.0058464517121843,1.0,1.1227255910756646
RHLD.US,Industrials,Specialty Business Services,18,0.05,False,buy_buffer_entry,,0.4354073749279788,-0.0043110076516408,0.7804447910261986,0.0516276100195488,,-0.0082666666666668,1.0,1.362657324653619
JAZZ.US,Healthcare,Biotechnology,19,0.05,False,buy_buffer_entry,,0.4352977082666814,0.0760942627297105,0.322856182253884,0.6842784769783204,0.0003638862817932,0.5252420731038806,1.0,1.2658470009966285
ALGN.US,Healthcare,Medical Instruments & Supplies,20,0.05,False,buy_buffer_entry,,0.4059138861679659,0.0320696598349179,0.4422574226866803,0.4912537268413255,0.0,0.0399565915802412,1.0,1.0713370509550626
VLGEA.US,Consumer Defensive,Grocery Stores,24,0.05,False,rank_fill,,0.3828851223488576,-0.0063508838119192,0.6605148294678448,1.0881424105106967,,-1.1102230246251563e-16,1.0,1.1171162745930032
AXGN.US,Healthcare,Medical Devices,25,0.05,False,rank_fill,,0.3718159537193106,-0.0404958651543223,0.7549066927695355,0.1505290416586971,0.0596001257444296,-3.768904460343947e-05,1.0,1.5610574596706692
